Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR3979410_2_t	SRR3979410_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29760621.0	0.0	31-150	62.0	99.9339721991006	149.93826479628902	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	fail
SRR3989440_1_t	SRR3989440_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36336648.0	0.0	15-251	61.0	94.5630682447835	250.0525244375871	pass	fail		pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR3989440_2_t	SRR3989440_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36336648.0	0.0	31-251	61.0	94.62251694040306	250.06672549983148	pass	fail		pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR4030043_1_t	SRR4030043_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32211894.0	0.0	15-150	48.0	99.74071445202979	149.1050409516435	pass	fail		pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR4030043_2_t	SRR4030043_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32211894.0	0.0	31-150	49.0	99.71352302732133	149.14735625294185	pass	fail		pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR4289282_1_t	SRR4289282_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35881894.0	0.0	15-150	65.0	95.66452027034788	149.71676829545285	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR4289282_2_t	SRR4289282_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35881894.0	0.0	15-150	65.0	95.7639738257658	149.6856401727289	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR4289291_1_t	SRR4289291_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37268106.0	0.0	15-150	62.0	96.70910756736995	149.4813604962914	pass	pass		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR4289291_2_t	SRR4289291_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37268106.0	0.0	15-150	62.0	97.29282156469593	149.4459072054802	pass	pass		pass	pass	fail	pass	warn	pass	pass	pass	pass
SRR4465034_1_t	SRR4465034_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247838.0	0.0	15-125	49.0	90.98988692638731	123.5289224730867	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR4465034_2_t	SRR4465034_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247838.0	0.0	15-125	49.0	91.36296089903983	123.52994193644669	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR5207236_1_t	SRR5207236_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40991678.0	0.0	15-251	62.0	97.01783458805318	249.2753301292033	pass	fail		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR5207236_2_t	SRR5207236_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40991678.0	0.0	31-251	62.0	97.02099617845901	249.29031702483613	pass	fail		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR5207629_1_t	SRR5207629_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31258069.0	0.0	15-151	62.0	99.60044410700777	150.73560948374643	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5207629_2_t	SRR5207629_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31258069.0	0.0	15-151	62.0	99.62917340898578	150.73532232589287	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5208282_1_t	SRR5208282_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73815691.0	0.0	15-151	58.0	98.8337511444357	150.66716767577236	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5208282_2_t	SRR5208282_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73815691.0	0.0	15-151	58.0	98.79056645445887	150.6605766651971	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5210996_1_t	SRR5210996_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107896624.0	0.0	15-151	46.0	98.86186681968412	149.70922981797835	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5210996_2_t	SRR5210996_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107896624.0	0.0	15-151	46.0	99.03761309157282	149.71215185565026	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5262247_1_t	SRR5262247_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45867451.0	0.0	31-151	63.0	99.53095652108769	150.85692948143117	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR5262247_2_t	SRR5262247_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45867451.0	0.0	31-151	63.0	99.5559722940598	150.85692948143117	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR9040676_1_t	SRR9040676_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105347381.0	0.0	15-151	65.0	62.477602314771985	150.56160244743057	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	fail
SRR9040676_2_t	SRR9040676_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105347381.0	0.0	15-151	65.0	63.60565745465109	150.5591374881925	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	fail
